Blog	second	here	music	until	want	feature	how	series	re	tech	best	never	much	life	things	had	right	old	people	support	time	team	love	working	such	data	so	years	didn	internet	million	quite	one	open	future	say	saw	take	drive	ways	going	where	many	photos	technology	being	around	world	power	favorite	her	am	an	as	original	tv	th	small	past	hours	social	more	company	its	always	found	really	number	self	also	play	cover	set	see	using	readers	d	be	by	into	line	up	us	ago	try	video	let	great	makes	next	doing	could	start	system	face	should	hope	email	ve	off	less	web	become	does	told	work	after	then	them	they	another	what	do	away	we	com	has	voice	night	security	post	months	way	was	together	change	live	can	write	product	still	not	now	january	year	than	online	america	only	between	these	media	real	read	early	amp	t	business	your	lot	trying	since	month	very	family	site	tried	help	actually	put	latest	pretty	during	x	won	probably	both	look	while	used	user	game	some	doesn	e	go	facebook	win	camera	started	links	including	special	times	need	talk	based	she	problem	i	well	page	twitter	home	he	friends	even	new	ever	tell	give	president	before	better	went	side	mean	content	isn	seem	don	m	stop	bad	decided	said	against	appeared	three	if	make	left	just	yet	down	finally	me	did	run	making	sunday	may	man	maybe	nbsp	interesting	thing	think	first	little	anyone	were	especially	show	black	get	morning	enough	reading	according	called	mark	those	different	pay	same	money	videos	again	important	u	steve	search	two	share	through	good	everyone	house	hard	idea	least	b	most	find	please	point	fun	big	bit	google	often	back	others	ll	day	have	almost	thought	like	about	buy	but	under	every	would	my	keep	end	over	writing	each	driving	got	free	wanted	days	already	top	too	took	though	report	full	news	been	several	everything	no	when	posts	today	trump	huge	name	state	turn	place	any	ideas	sure	later	come	case	myself	week	without	blog	or	there	all	list	design	might	feel	story	nothing	part	his	hit	him	wrote	are	recently	attention	questions	question	long	once	app	use	from	few	something	our	out	their	which	who	why	view	stories	job	last	will	gets	other	smart	know	because	getting	own	made	book
Schneier on Security	1	3	0	0	0	0	1	1	0	0	0	0	2	1	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	2	1	2	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	2	2	0	0	0	1	0	0	4	0	0	5	1	0	0	0	0	0	0	4	0	0	2	2	3	0	1	0	1	0	1	0	1	0	2	1	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	2	1	0	1	0	0	0	1	0	0	0	3	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	2	3	1	1	1	2	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	3	1	1	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	5	2	0	0	2	1	1	1	3	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0	2
PaulStamatiou.com - Technology, Design and Photography	16	39	10	15	54	8	95	4	68	9	22	17	96	23	31	91	25	21	43	22	91	22	9	53	17	40	133	19	24	5	4	15	111	16	12	11	3	26	20	7	39	38	23	42	0	21	52	17	38	7	3	10	132	214	5	6	0	16	6	9	2	127	3	13	24	21	21	28	2	82	11	11	20	42	57	2	34	174	141	66	27	123	13	11	16	65	26	25	11	39	8	52	22	22	2	36	1	9	44	53	14	23	5	24	2	65	46	56	48	88	32	98	79	13	160	24	42	28	5	1	39	13	48	214	4	17	9	172	11	13	47	151	90	4	23	45	7	0	117	27	37	9	29	52	12	28	187	3	247	9	15	37	22	30	3	45	4	15	38	30	4	11	14	46	17	18	13	51	76	41	28	5	90	16	5	27	2	0	25	26	1	10	2	24	64	5	7	0	6	842	41	42	58	19	19	8	43	94	4	13	13	2	31	66	7	9	3	7	3	3	47	56	3	4	13	10	4	2	9	163	43	8	144	8	33	5	75	28	37	14	0	19	1	3	6	9	22	26	60	6	1	45	8	13	4	127	3	21	46	0	14	3	20	8	4	36	3	14	9	7	0	3	4	35	17	33	32	10	11	18	9	9	14	28	31	6	21	6	11	47	76	17	27	6	56	26	174	8	19	138	126	7	155	4	26	116	270	21	22	46	15	18	1	26	7	32	16	21	11	35	6	26	0	12	18	30	9	19	64	129	10	1	0	11	14	8	16	17	56	6	20	18	17	15	10	21	26	14	172	109	62	16	83	24	21	9	9	40	18	9	3	12	114	9	3	13	3	19	5	50	102	151	65	52	56	88	38	38	8	25	7	5	7	41	125	8	57	7	27	9	32	42	20	36
Search Engine Roundtable	0	4	0	0	0	0	1	2	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0	0	2	0	0	0	1	1	3	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	1	0	1	0	2	0	0	3	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	3	2	4	1	0	0	0	0	0	0	0	0	0	0	0	1	3	5	0	0	0	0	0	0	3	0	4	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	15	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	29	0	0	0	0	0	1	0	0	0	2	0	1	0	1	0	1	0	0	3	0	0	0	0	2	0	2	0	0	2	0	0	3	0	6	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	3	0	0	1	2	0	0	2	0	0	0	1	0	0	0	1	1	0	0	0	0	3	1	2	1	1	4	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
Copyblogger	0	3	0	0	2	0	13	0	1	0	2	0	1	1	3	1	0	0	1	3	1	5	2	1	0	0	3	0	0	0	0	0	1	0	0	0	0	2	0	3	0	0	0	0	1	0	0	0	1	6	0	0	2	3	0	0	0	0	0	0	1	11	0	0	2	0	0	0	0	0	0	0	0	0	2	0	1	5	1	2	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	2	0	0	2	0	0	2	0	0	1	1	0	4	1	1	9	0	0	0	0	0	12	0	0	3	2	1	0	4	0	0	0	1	1	1	9	0	0	0	1	1	0	0	0	10	0	0	0	1	11	1	0	0	1	1	0	1	0	2	1	2	0	0	0	0	0	0	0	0	1	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	18	1	0	0	1	0	0	1	6	0	0	0	0	2	0	0	1	0	5	0	0	0	1	0	0	0	0	0	10	2	1	4	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	11	0	0	1	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	3	0	0	1	0	1	0	0	0	0	3	1	2	0	1	2	7	0	4	0	0	1	5	0	0	2	9	1	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	4	0	3	1	0	0	1	0	0	0	0	0	0	3	1	0	0	0	1	0	0	0	0	2	1	0	3	1	3	0	1	2	0	0	2	1	0	1	0	0	2	0	1	2	0	1
John Battelle's Search Blog	1	4	0	0	1	0	6	0	1	0	0	0	2	0	1	0	1	0	1	0	1	0	0	1	0	8	7	2	0	0	0	0	5	0	1	0	0	0	0	0	1	1	2	0	0	0	0	0	0	1	0	0	2	3	1	0	0	1	0	0	4	0	3	1	0	1	2	0	0	1	0	0	0	0	0	2	5	2	1	0	0	3	0	2	0	0	3	0	0	0	2	0	1	0	0	3	0	0	3	0	0	0	0	5	0	0	0	0	1	2	0	7	5	0	3	0	2	0	1	0	21	1	1	0	0	0	0	0	0	0	0	10	2	0	7	1	0	0	0	0	2	0	0	2	0	0	5	0	2	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	1	0	0	0	1	1	3	0	1	0	0	0	1	0	0	0	0	0	26	0	1	0	0	0	0	0	7	0	0	0	0	1	1	0	0	0	1	3	0	0	5	0	0	0	0	0	20	1	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	22	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	20	2	0	0	0	1	0	1	0	0	0	4	0	3	0	0	0	0	2	1	0	0	0	1	2	0	0	1	1	0	5	0	3	0	11	0	0	3	2	0	0	0	1	1	1	0	0	0	0	0	0	0	0	3	0	0	4	5	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	20	0	1	3	0	0	0	1	0	0	1	0	0	0	2	3	0	0	0	0	0	0	0	0	8	0	0	0	2	0	0	0	2	0	0	0	0	6	0	2	1	4	1	1	0	0	0
Engadget RSS Feed	0	2	3	0	0	1	1	1	1	4	4	0	1	0	1	0	1	0	0	1	0	2	0	1	0	0	4	2	1	0	1	0	8	1	1	0	1	1	0	1	1	0	1	0	3	1	1	2	2	0	0	0	4	6	0	5	0	0	0	0	0	4	7	17	1	1	0	0	2	1	0	1	2	2	0	0	1	3	2	3	3	2	3	0	0	3	2	0	1	1	0	0	0	0	0	0	0	0	2	5	0	0	0	1	0	1	1	1	1	2	1	1	1	2	7	0	13	2	0	2	0	0	1	3	0	0	1	7	0	1	2	2	2	1	9	2	0	0	1	0	0	0	0	0	1	4	9	0	2	1	0	1	1	1	0	0	2	1	0	2	2	2	0	1	0	0	0	1	3	0	0	0	3	1	3	0	3	1	3	1	0	0	0	1	2	1	2	0	0	1	1	0	0	2	0	0	4	12	1	0	0	0	1	1	0	1	0	0	4	0	0	1	1	0	0	0	0	0	1	2	1	1	3	2	3	1	1	0	1	2	0	0	0	0	0	1	0	0	0	3	0	1	1	3	0	2	0	0	0	0	2	0	1	0	3	1	1	2	0	0	0	0	0	2	1	1	0	0	0	0	0	1	1	1	0	0	0	0	2	1	6	0	3	1	3	1	2	0	0	2	6	0	6	2	0	0	0	0	0	3	0	1	2	1	3	0	0	1	0	2	1	0	0	0	1	4	0	1	0	1	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	2	0	4	1	0	1	0	0	0	0	0	1	0	0	6	3	1	0	0	0	0	0	1	8	1	0	2	6	0	1	1	0	0	0	0	4	5	0	0	6	1	0	0	1	2	0
TMZ.com	0	2	0	0	0	0	0	0	1	0	1	1	0	2	0	4	0	0	0	0	4	3	0	0	0	0	1	0	1	0	0	0	7	0	0	1	0	2	0	0	1	2	0	0	0	2	1	0	0	0	3	2	7	4	0	1	1	0	1	2	0	1	1	1	1	4	0	0	0	1	0	1	0	0	0	0	0	0	2	2	0	5	0	0	0	1	0	1	0	0	0	0	1	3	0	1	1	0	0	1	0	0	0	0	1	0	10	0	0	0	2	0	1	0	2	0	4	0	3	0	0	0	0	8	1	0	0	0	0	0	1	1	2	0	1	1	0	0	0	1	0	0	1	0	2	1	1	0	0	0	2	0	0	0	0	0	0	0	1	1	1	1	3	0	0	0	1	0	0	0	0	3	3	0	0	1	0	2	0	0	0	1	0	0	0	0	0	5	0	0	1	0	0	2	7	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	2	0	2	0	2	0	0	1	2	0	7	1	0	0	0	0	0	0	0	1	0	6	0	3	1	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	1	0	0	1	2	1	1	0	1	0	0	0	0	0	2	0	0	0	1	0	0	2	4	0	4	1	0	0	0	0	0	3	0	0	0	3	0	0	0	0	1	0	1	0	2	0	1	2	0	0	3	3	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	7	0	0	0	3	0	1	0	0	0	0	0	0	4	0	1	0	4	1	1	3	0	0	0	0	0	0	2	0	0	1	2	1	0	1	0
NewsBusters	0	2	0	0	3	0	10	3	0	0	0	3	3	1	1	6	0	1	2	0	8	2	3	1	1	0	2	2	0	0	2	2	6	1	1	1	0	1	0	0	1	0	2	0	0	8	0	4	0	0	10	0	9	27	1	0	3	1	1	2	1	10	1	5	1	1	4	0	1	3	0	3	1	2	1	0	2	15	15	8	0	6	1	0	0	1	3	1	0	0	3	4	1	0	1	3	0	0	0	2	1	0	1	2	2	4	4	1	2	3	1	7	1	2	5	0	17	0	4	0	9	2	5	26	0	2	1	5	0	0	2	9	1	2	9	7	0	2	4	2	2	27	2	1	0	2	16	0	0	1	2	5	0	1	2	0	2	1	2	1	2	1	6	0	2	0	3	2	6	0	0	0	6	6	1	2	0	0	0	3	0	1	0	5	0	1	0	4	1	9	2	3	0	1	31	2	4	22	3	1	0	28	3	0	2	4	0	0	1	2	2	3	3	1	0	5	5	0	2	5	2	4	7	2	5	6	0	3	0	2	5	3	4	0	29	1	0	3	3	1	0	7	1	13	2	6	14	2	0	1	4	5	1	0	2	2	0	0	1	0	1	3	1	2	0	4	3	3	9	0	2	1	1	8	0	1	0	1	3	2	0	0	3	2	3	3	13	0	2	3	9	0	8	4	3	5	0	2	3	11	0	1	0	3	0	2	2	0	2	0	1	1	1	0	10	5	2	1	7	10	0	5	61	0	2	12	0	3	2	0	1	2	1	0	0	6	1	0	6	7	9	0	0	1	0	7	2	1	21	2	5	0	3	0	2	0	3	2	1	0	1	7	0	1	1	12	12	10	8	0	2	0	1	8	6	0	6	0	1	5	1	0	2	22
ProBlogger	0	1	0	0	2	2	14	11	9	9	0	1	0	0	1	0	0	0	1	0	7	0	0	1	2	0	2	3	0	0	0	1	9	0	0	0	0	1	0	0	1	5	2	0	1	0	0	0	0	0	19	0	3	6	0	0	0	0	0	0	0	21	0	0	0	0	1	0	0	0	0	0	4	0	1	6	2	7	1	0	0	3	2	1	0	0	0	1	0	2	0	1	6	0	0	6	0	6	4	2	0	0	0	1	0	3	0	0	1	0	1	4	2	0	11	0	0	3	0	0	23	0	0	1	0	0	0	3	0	0	2	1	0	1	9	0	3	0	0	0	0	0	0	1	1	0	4	12	33	1	1	2	5	0	0	0	0	4	0	1	0	0	0	0	0	2	0	2	1	0	0	0	3	0	0	0	0	0	0	8	0	1	0	0	0	0	0	0	0	18	0	3	0	0	0	0	2	6	0	12	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	1	0	20	0	3	1	0	0	1	0	0	2	0	0	0	0	1	0	2	0	0	0	1	21	1	0	0	0	0	3	1	0	1	0	0	0	0	0	1	0	0	0	0	3	1	0	0	0	3	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	3	0	5	0	0	2	4	0	5	0	0	0	2	0	1	18	3	0	0	1	1	0	0	1	0	0	0	0	0	6	0	3	0	0	0	1	6	11	0	0	0	0	0	0	1	3	0	0	0	3	0	0	1	25	5	0	1	5	0	0	1	23	1	1	6	0	0	0	2	0	0	1	0	1	3	0	4	28	1	0	17	0	10	1	2	2	0	15	1	1	1	0	1	3	0	0	0	0	0	0
mezzoblue	0	1	0	0	0	0	2	0	1	0	0	0	1	0	0	0	1	1	0	3	0	0	0	1	0	0	1	3	1	1	0	1	2	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	4	0	0	1	0	3	0	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	6	0	0	3	0	1	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	1	2	1	0	0	0	1	0	0	1	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	1	0	0	1	0	1	2	0	0	0	0	0	0	0	0	2	1	0	0	1	1	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	12	1	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	2	0	1	1	0	3	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	2	0	1	0	4	0	0	0	3	0	0	4	0	0	0	1	2	0	0	0	0	1	0	0	0	0	1	3	0	0	1	2	1	2	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	1	2	1	0	1	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
